,originalLocation,position,x,y,z
929,J-13-12,"352, 720, 1",352,720,1
930,J-13-13,"336, 720, 1",336,720,1
936,J-14-11,"368, 778, 1",368,778,1
937,J-14-12,"352, 778, 1",352,778,1
938,J-14-13,"336, 778, 1",336,778,1
944,J-15-11,"318, 720, 1",318,720,1
945,J-15-12,"302, 720, 1",302,720,1
946,J-15-13,"286, 720, 1",286,720,1
952,J-16-11,"318, 778, 1",318,778,1
953,J-16-12,"302, 778, 1",302,778,1
954,J-16-13,"286, 778, 1",286,778,1
960,J-17-11,"268, 720, 1",268,720,1
961,J-17-12,"252, 720, 1",252,720,1
962,J-17-13,"236, 720, 1",236,720,1
968,J-18-11,"268, 778, 1",268,778,1
969,J-18-12,"252, 778, 1",252,778,1
970,J-18-13,"236, 778, 1",236,778,1
976,J-19-11,"218, 720, 1",218,720,1
977,J-19-12,"202, 720, 1",202,720,1
978,J-19-13,"186, 720, 1",186,720,1
984,J-20-11,"218, 778, 1",218,778,1
985,J-20-12,"202, 778, 1",202,778,1
986,J-20-13,"186, 778, 1",186,778,1
992,J-21-11,"168, 720, 1",168,720,1
993,J-21-12,"152, 720, 1",152,720,1
994,J-21-13,"136, 720, 1",136,720,1
1000,J-22-11,"168, 778, 1",168,778,1
1001,J-22-12,"152, 778, 1",152,778,1
1002,J-22-13,"136, 778, 1",136,778,1
1008,J-23-11,"118, 720, 1",118,720,1
1009,J-23-12,"102, 720, 1",102,720,1
1010,J-23-13,"86, 720, 1",86,720,1
1016,J-24-11,"118, 778, 1",118,778,1
1017,J-24-12,"102, 778, 1",102,778,1
1018,J-24-13,"86, 778, 1",86,778,1
1024,K-01-11,"666, 900, 1",666,900,1
1025,K-01-12,"650, 900, 1",650,900,1
1026,K-01-13,"634, 900, 1",634,900,1
1032,K-02-11,"666, 958, 1",666,958,1
1033,K-02-12,"650, 958, 1",650,958,1
1034,K-02-13,"634, 958, 1",634,958,1
1040,K-03-11,"616, 900, 1",616,900,1
1041,K-03-12,"600, 900, 1",600,900,1
1042,K-03-13,"584, 900, 1",584,900,1
1048,K-04-11,"616, 958, 1",616,958,1
1049,K-04-12,"600, 958, 1",600,958,1
1050,K-04-13,"584, 958, 1",584,958,1
1056,K-05-11,"566, 900, 1",566,900,1
1057,K-05-12,"550, 900, 1",550,900,1
1058,K-05-13,"534, 900, 1",534,900,1
1064,K-06-11,"566, 958, 1",566,958,1
1065,K-06-12,"550, 958, 1",550,958,1
